Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
AGDE7,AGCA3,Agrostis californica Trin.,,Graminoid
AGDE7,,Agrostis densiflora Vasey,California bentgrass,Graminoid
AGDE7,AGGL3,Agrostis glomerata auct. non (J. Presl) Kunth,,Graminoid
AGEL4,,Agrostis elliottiana Schult.,Elliott's bentgrass,Graminoid
AGEL4,AGEX2,Agrostis exigua Thurb.,,Graminoid
AGEX,AGEXM,Agrostis exarata Trin. var. minor Hook.,,Graminoid
AGEX,,Agrostis exarata Trin.,spike bentgrass,Graminoid
AGEX,AGAE2,Agrostis aenea Trin.,,Graminoid
AGEX,AGMIM,Agrostis microphylla Steud. var. major Vasey,,Graminoid
AGEX,AGEXM3,Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.,,Graminoid
AGEX,AGAL2,Agrostis alaskana Hultén,,Graminoid
AGEX,AGEXM2,Agrostis exarata Trin. var. monolepis (Torr.) Hitchc.,,Graminoid
AGEX,AGAM2,Agrostis ampla Hitchc.,,Graminoid
AGEX,AGEXP2,Agrostis exarata Trin. var. pacifica Vasey,,Graminoid
AGEX,AGAS4,Agrostis asperifolia Trin.,,Graminoid
AGEX,AGEXP,Agrostis exarata Trin. var. purpurascens Hultén,,Graminoid
AGEX,AGLO2,Agrostis longiligula Hitchc.,,Graminoid
AGEX,AGLOA,Agrostis longiligula Hitchc. var. australis J.T. Howell,,Graminoid
AGEX,AGME,Agrostis melaleuca (Trin.) Hitchc.,,Graminoid
AGGI2,AGAL3,Agrostis alba auct. non L.,,Graminoid
AGGI2,AGSTG,Agrostis stolonifera L. ssp. gigantea (Roth) Schübl. & G. Martens,,Graminoid
AGGI2,,Agrostis gigantea Roth,redtop,Graminoid
AGGI2,AGSTM,Agrostis stolonifera L. var. major (Gaudin) Farw.,,Graminoid
AGGI2,AGGID,Agrostis gigantea Roth var. dispar (Michx.) Philipson,,Graminoid
AGGI2,AGNI,Agrostis nigra With.,,Graminoid
AGHA2,AGHAP,Agrostis hallii Vasey var. pringlei (Scribn.) Hitchc.,,Graminoid
AGHA2,,Agrostis hallii Vasey,Hall's bentgrass,Graminoid
AGHE3,,Agrostis hendersonii Hitchc.,Henderson's bentgrass,Graminoid
AGHE3,AGAR2,Agrostis aristiglumis Swallen,,Graminoid
AGHE3,AGMIH,Agrostis microphylla Steud. var. hendersonii (Hitchc.) Beetle,,Graminoid
AGHO,,Agrostis hooveri Swallen,Hoover's bentgrass,Graminoid
AGHO2,,Agrostis howellii Scribn.,Howell's bentgrass,Graminoid
AGHU,POHU,Podagrostis humilis (Vasey) Björkman,,Graminoid
AGHU,,Agrostis humilis Vasey,alpine bentgrass,Graminoid
AGHU,POTH3,Podagrostis thurberiana (Hitchc.) Hultén,,Graminoid
AGHU,AGTH2,Agrostis thurberiana Hitchc.,,Graminoid
AGHY,COHY2,Cornucopiae hyemalis Walter,,Graminoid
AGHY,,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass,Graminoid
AGHY,AGAN2,Agrostis antecedens E.P. Bicknell,,Graminoid
AGID,AGBOR,Agrostis borealis Hartm. var. recta (Hartm.) B. Boivin,,Graminoid
AGID,,Agrostis idahoensis Nash,Idaho bentgrass,Graminoid
AGID,AGCL4,Agrostis clavata auct. non Trin.,,Graminoid
AGID,AGFI3,Agrostis filicumis M.E. Jones,,Graminoid
